gene_id,class,toxin_family,JLS178,JLS181,JLS187,JLS202,JLS216,JLS223,JLS224,JLS228,JLS242,JLS247,JLS248,JLS249,JLS253,JLS254,JLS255,JLS256,JLS257,JLS260,JLS269,Average,Female_Average,Male_Average
trinityContig10174||sp|Q9ESF4.1|,Nontoxin,Nontoxin,45.81,34.28,72.54,57.97,36.88,19.4,9.66,43.96,16.33,34.86,70.22,41.32,18.22,4.08,10.26,14.65,41.98,13.16,24.59,32.11421053,39.163,24.2822222
trinityContig10175||sp|P28066.3|,Nontoxin,Nontoxin,21.4,28.79,20.9,45.94,36.74,56.29,35.34,32.42,28.47,31.02,29.02,29.88,26.22,36.13,60.55,29.77,40.28,86.04,26,36.90526316,39.309,34.2344444
trinityContig10199||sp|Q15545.1|,Nontoxin,Nontoxin,13.33,5.43,9.19,3.03,7,3.98,12.01,4.03,1.3,8.4,5.15,7.43,4.31,0.42,7.63,2.78,17.18,10.92,3.12,6.665263158,8.086,5.08666667
trinityContig1020||sp|P61966.1|,Nontoxin,Nontoxin,215.29,138.61,135.39,157.04,78.68,158.77,112.46,71.39,100.17,98.13,135.31,102.97,102.66,86.23,114.03,82.52,173.54,118.13,116.19,120.9215789,134.626,105.694444
trinityContig10204||sp|Q91Y86.1|,Nontoxin,Nontoxin,26.02,20.82,30.65,25.88,33.21,19.35,18.3,31.37,18.39,35.9,45.3,25.48,23.62,6.97,11.11,18.91,28.15,24.96,21.11,24.5,27.001,21.7211111
trinityContig1021||sp|P30932.2|,Nontoxin,Nontoxin,172.62,239.18,85.85,0,94.59,181.52,65.16,172.6,80.55,100.17,224.94,146.87,169.18,37.93,140.17,51.92,74.01,69.13,48.83,113.4326316,107.932,119.544444
trinityContig1022||sp|P34743.1|,Nontoxin,Nontoxin,274.05,151.56,184.76,136.47,180.64,121.18,83.15,125.96,64.9,148.9,454.93,204.76,104.08,21.61,33.63,76.74,181.47,69.81,92.85,142.7078947,171.269,110.973333
trinityContig10241||sp|Q8WYA6.1|,Nontoxin,Nontoxin,36.95,17.52,0,22.95,14.25,18.58,18.07,45.09,14.61,14.48,26.11,24.07,16.58,9.25,12.73,35.02,32.62,27.94,19.15,21.36684211,20.928,21.8544444
trinityContig10244||sp|Q9Y587.1|,Nontoxin,Nontoxin,4.34,0,4.63,4.51,4.17,7.23,4.16,1.72,7.17,5.44,6.75,2.8,0.89,10.52,4.72,4.94,8.13,7.73,1.9,4.828947368,4.777,4.88666667
trinityContig10269||sp|Q5F4C0.1|,Nontoxin,Nontoxin,14.97,7.27,16.2,7.74,11.38,18.46,16.09,2.4,11.58,9.45,13.99,11.38,11.96,13.83,9.9,5.4,26.41,17.55,8.91,12.36157895,13.901,10.6511111
